,Year,Month,average_Price,year-Month
0,2020,02,78.06547659099166,2020-02
1,2020,03,75.95387059647398,2020-03
2,2020,04,77.60740167480256,2020-04
3,2020,05,80.798763805727,2020-05
4,2020,06,79.34922675979945,2020-06
5,2020,07,80.69028955059935,2020-07
6,2020,08,80.78189031720366,2020-08
7,2020,09,81.01216811525181,2020-09
8,2020,10,81.23005042843042,2020-10
9,2020,11,78.2758013520128,2020-11
10,2020,12,78.59824198221243,2020-12
11,2021,01,84.17592852195666,2021-01
12,2021,02,82.98897520584268,2021-02
